"Check","Values","Trigger","Flag","Perc.Over"
"Overall",NA,NA,TRUE,NA
"all.acf",NA,NA,FALSE,NA
"all.geweke",NA,NA,TRUE,NA
"all.gelman.rubin",NA,NA,TRUE,NA
"max.abs.acf.S.eq.c",0.3143,0.7591,FALSE,-59
"abs.geweke.S.eq.c",0.6372,2.3,FALSE,-72
"gelman.rubin.S.eq.c",3.111,1.1,TRUE,183
"max.abs.acf.S.msy.c",0.3695,0.7591,FALSE,-51
"abs.geweke.S.msy.c",0.3714,2.3,FALSE,-84
"gelman.rubin.S.msy.c",5.9417,1.1,TRUE,440
"max.abs.acf.U.msy.c",0.6086,0.7591,FALSE,-20
"abs.geweke.U.msy.c",4.9076,2.3,TRUE,113
"gelman.rubin.U.msy.c",5.7256,1.1,TRUE,421
"max.abs.acf.alpha",0.4946,0.7591,FALSE,-35
"abs.geweke.alpha",4.2685,2.3,TRUE,86
"gelman.rubin.alpha",5.6878,1.1,TRUE,417
"max.abs.acf.beta",0.3287,0.7591,FALSE,-57
"abs.geweke.beta",1.5646,2.3,FALSE,-32
"gelman.rubin.beta",10.0127,1.1,TRUE,810
"max.abs.acf.lnalpha",0.528,0.7591,FALSE,-30
"abs.geweke.lnalpha",4.0694,2.3,TRUE,77
"gelman.rubin.lnalpha",7.613,1.1,TRUE,592
"max.abs.acf.lnalpha.c",0.5957,0.7591,FALSE,-22
"abs.geweke.lnalpha.c",5.125,2.3,TRUE,123
"gelman.rubin.lnalpha.c",4.948,1.1,TRUE,350
"max.abs.acf.phi",0.3237,0.7591,FALSE,-57
"abs.geweke.phi",1.1283,2.3,FALSE,-51
"gelman.rubin.phi",9.5509,1.1,TRUE,768
"max.abs.acf.sigma.R",0.2504,0.7591,FALSE,-67
"abs.geweke.sigma.R",1.6156,2.3,FALSE,-30
"gelman.rubin.sigma.R",13.8183,1.1,TRUE,1156
"max.abs.acf.S.eq.c2",0.3143,0.7591,FALSE,-59
"abs.geweke.S.eq.c2",0.6372,2.3,FALSE,-72
"gelman.rubin.S.eq.c2",3.111,1.1,TRUE,183
"max.abs.acf.U.msy.c2",0.6056,0.7591,FALSE,-20
"abs.geweke.U.msy.c2",4.9957,2.3,TRUE,117
"gelman.rubin.U.msy.c2",5.4819,1.1,TRUE,398
"max.abs.acf.S.msy.c2",0.3652,0.7591,FALSE,-52
"abs.geweke.S.msy.c2",0.2861,2.3,FALSE,-88
"gelman.rubin.S.msy.c2",5.655,1.1,TRUE,414
"max.abs.acf.U.max.c2",0.6063,0.7591,FALSE,-20
"abs.geweke.U.max.c2",4.7707,2.3,TRUE,107
"gelman.rubin.U.max.c2",5.686,1.1,TRUE,417
