"","variable","chain1","chain2","chain3"
"1","MSY",1.21484589605482,-1.5476576412413,-0.772946443197873
"2","S.eq",1.10044469318463,0.624734769074376,-0.102225888043397
"3","S.max",0.998496002998367,1.1625112081508,0.0172885519820036
"4","S.msy",1.07136345695782,1.06668703265738,0.0169122209788096
"5","U.msy",2.13379232766053,-1.5136058782681,-0.698187685875944
"6","alpha",-0.227766635840702,-3.30550094725626,-0.65613676108088
"7","beta",-1.77755415939709,-1.3631228521664,-0.562279052157971
"8","lnalpha",1.27258091496198,-3.44436054994658,-0.534745816776449
"9","lnalpha.c",1.0028308710818,-2.24574070656868,-0.694249078956766
"10","resid.red.0",-0.840800996811256,-0.509004410458294,-0.307556183477027
"11","sigma.red",0.506349667513354,-0.302282307385714,0.00526712144261868
"12","sigma.white",0.391172738156918,-0.191161539633865,-0.380517819757266
"13","frac1",0.1,0.1,0.1
"14","frac2",0.5,0.5,0.5
