"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
12098.583317,8693.23921,3787.050838,1918.223333,1573.192798,500
23947.422333,17215.072409,7509.967086,3813.893294,3134.008009,1000
35560.127067,25557.926441,11170.874899,5692.511766,4678.304063,1500
46953.013837,33772.726225,14767.407397,7539.489184,6201.426608,2000
58113.930887,41829.876009,18296.20528,9372.131776,7705.891637,2500
68963.173798,49709.355914,21769.701281,11182.63059,9206.941559,3000
79542.550934,57319.029968,25189.028342,12965.151655,10691.8682,3500
90085.9324,64883.809905,28531.770154,14749.371552,12163.760256,4000
100592.044548,72328.570802,31836.37033,16506.303971,13606.264919,4500
110647.465304,79633.441268,35107.286656,18231.917622,15027.697267,5000
120512.612227,86644.569741,38326.812042,19924.703453,16432.314233,5500
130287.351223,93594.668179,41437.713273,21604.175595,17815.081923,6000
139702.819363,100325.347476,44534.592565,23234.795373,19198.014486,6500
149030.601008,106911.564545,47538.899592,24897.60507,20533.451653,7000
158004.423058,113434.691847,50497.885544,26502.962897,21892.90576,7500
166913.339246,120043.021765,53445.190394,28077.06425,23213.491605,8000
175679.87485,125961.813564,56297.104417,29621.982602,24520.232898,8500
184461.753906,132040.757417,59110.519985,31130.165656,25804.941422,9000
193089.220848,138052.583525,61858.728214,32648.261658,27084.253857,9500
201269.54466,143976.299654,64473.538522,34165.169612,28376.198792,10000
208648.876377,150114.97927,67108.634169,35634.898975,29615.379088,10500
216494.080035,155503.509283,69737.268915,37131.06209,30793.21745,11000
224207.754872,161001.091553,72300.706063,38556.1341,31981.983491,11500
231786.787187,166399.031984,74797.372051,39945.760786,33168.442788,12000
239265.661866,171556.060953,77282.744355,41314.350355,34354.43935,12500
246352.794383,176728.386678,79647.510399,42667.197523,35543.985276,13000
253431.027666,181548.554883,81947.855595,44041.102552,36685.305219,13500
260335.367181,186576.966239,84203.925864,45443.587898,37800.943413,14000
266865.870627,191462.955312,86468.357017,46747.684774,38909.407321,14500
272867.511918,195908.349216,88629.220989,48029.823056,40005.073682,15000
278521.419111,200316.812781,90917.04062,49275.915059,41114.557203,15500
284406.336535,204720.240076,93028.933103,50581.598347,42204.498417,16000
290981.552178,209072.18803,95168.016817,51769.538821,43260.625044,16500
297200.110987,212954.872216,97257.006383,52991.571826,44289.368843,17000
302952.797893,216978.590143,99261.624786,54232.817174,45328.616726,17500
308527.081465,220858.228699,101291.442441,55407.973102,46342.434705,18000
313854.190634,224683.170113,103201.368669,56535.682303,47382.291482,18500
318615.368774,228461.601904,105060.837658,57601.53705,48378.036621,19000
323165.782573,232294.148796,106899.251309,58733.51781,49296.93663,19500
328297.314342,235646.043203,108728.651195,59833.181716,50249.099394,20000
333446.390273,238874.103671,110477.660716,60876.739957,51189.02596,20500
337681.323341,242021.669342,112178.674358,61938.763826,52067.475012,21000
342477.381672,245094.29184,113859.320172,62972.584488,52963.133137,21500
346814.653798,248387.734318,115622.9737,63948.243822,53809.115166,22000
350470.237847,251457.303713,117218.163142,64963.716827,54693.304899,22500
354778.172377,254322.799648,118728.170787,65874.237027,55510.015676,23000
358398.044205,257551.773034,120289.332057,66848.485134,56308.438237,23500
361910.477433,260488.661483,121708.875305,67716.142058,57118.139982,24000
365782.330449,263300.760336,123255.556361,68623.958556,57981.179013,24500
369455.285427,266048.696937,124646.065361,69485.426826,58746.703957,25000
373040.187244,268822.679241,126047.930982,70357.636166,59616.360098,25500
376968.308373,271288.611502,127481.825282,71222.821494,60447.216015,26000
380111.50078,273660.03238,128878.128639,72033.365505,61173.469592,26500
383121.687132,276174.884701,130201.863754,72883.674065,61853.090396,27000
386154.44762,278598.392526,131508.533244,73639.328859,62551.876321,27500
389154.843304,280945.329275,132787.301436,74376.394245,63245.09477,28000
391314.378874,283252.828165,133931.253882,75142.827429,63897.003435,28500
393653.647336,285283.054823,135017.70452,75936.516727,64586.698559,29000
396500.503749,287202.646017,136165.504127,76672.953911,65234.153421,29500
399554.562274,289563.262819,137283.332152,77382.520196,65840.986912,30000
401856.620143,291778.588621,138338.84141,78075.375618,66422.846918,30500
404024.924804,294075.580547,139381.295974,78820.753594,67063.697543,31000
406497.31446,295792.111839,140329.442776,79524.945377,67591.44337,31500
408783.969685,297522.631157,141256.143735,80178.300747,68224.652044,32000
410617.234136,299395.448938,142118.344479,80725.008171,68824.353664,32500
412344.852678,301231.034389,143087.01847,81353.180782,69422.455241,33000
414787.841959,302193.471508,143905.793353,82040.455965,69877.092866,33500
416704.598746,303447.927511,144750.708609,82648.900413,70328.592956,34000
419150.675093,305078.295627,145537.663141,83238.584956,70788.408592,34500
421115.902737,306863.077726,146375.666558,83778.219063,71249.711952,35000
423335.888538,307704.327143,147204.609698,84188.448266,71733.076921,35500
424974.153058,309160.095862,147837.059973,84656.709577,72234.799753,36000
427166.622361,310589.634687,148564.188035,85213.020316,72592.543486,36500
429338.50601,311990.307291,149217.730023,85696.125901,73069.702664,37000
430899.717878,312653.521981,149816.110766,86137.24366,73383.474025,37500
432880.552971,313558.440182,150382.630841,86537.794854,73841.040434,38000
435582.269049,314416.885032,150848.323573,87012.36922,74206.46756,38500
437255.033049,315463.207525,151374.230773,87457.317879,74557.181456,39000
439065.745833,316445.807067,151951.120109,87925.161551,74938.825385,39500
440190.835586,317405.433654,152461.29063,88347.93762,75360.504402,40000
441240.813256,318192.215001,152955.844829,88783.902523,75747.456465,40500
443062.181285,318912.875417,153487.072833,88938.207151,76100.037636,41000
444184.293446,319975.590702,154029.97179,89305.808913,76439.254101,41500
445855.807597,320852.507676,154395.104386,89573.002551,76761.935476,42000
447483.38577,321320.271786,154768.63117,89862.796179,77093.249727,42500
449071.345032,321920.443464,155064.537114,90198.521797,77357.874247,43000
450413.534619,322366.64721,155434.257567,90491.955198,77542.25711,43500
450380.856378,322832.971258,155835.870882,90680.10469,77884.063048,44000
451671.908528,323467.272471,156171.946917,90889.024937,78136.626432,44500
453224.188966,323531.575883,156544.550427,91163.309295,78495.26274,45000
454912.690037,323905.866751,156872.239136,91287.834407,78710.54484,45500
456572.949845,324339.091418,157198.215284,91471.997057,78674.361929,46000
456818.103087,324744.212044,157344.796125,91678.70639,78774.203299,46500
456680.64452,324903.641028,157551.270313,91972.173633,79057.208887,47000
456324.181959,325289.429791,157743.844168,92194.702357,79068.378143,47500
458141.350149,325069.556181,157930.192542,92258.370746,79254.000948,48000
458405.561759,325073.36188,158023.694203,92417.232338,79311.329457,48500
458434.552054,325351.028791,158157.653423,92559.860556,79362.177101,49000
458735.25705,325246.666985,158124.770956,92624.394734,79216.37462,49500
458443.608193,325232.158084,158198.808576,92606.489652,79387.073126,50000
458060.91161,325097.248847,158182.432884,92683.583173,79432.201489,50500
457983.980053,324659.46212,158399.34105,92705.885979,79573.276606,51000
458452.835922,324584.60467,158301.886328,92714.234942,79606.997488,51500
458770.266645,324578.490098,158401.67519,92556.349604,79541.030085,52000
459453.526165,324894.103896,158465.238548,92500.933981,79468.616131,52500
459882.853474,324631.895893,158578.733152,92577.836877,79479.007118,53000
460413.23363,324573.385952,158479.437051,92555.558372,79237.851329,53500
461413.006166,324467.68608,158505.735184,92404.207496,79231.011755,54000
461241.607476,324504.361993,158461.623398,92377.315538,78964.694645,54500
461754.847113,324686.137593,158460.715043,92423.98976,78737.519647,55000
462240.705058,324931.386464,158423.030592,92422.706724,78616.90965,55500
462663.634099,325163.648587,158156.923923,92145.189792,78487.855983,56000
463066.751707,324828.637061,157994.820393,92013.029614,78469.119225,56500
463430.687899,324647.930207,157782.562113,92022.773418,78349.993584,57000
463575.568648,324215.083361,157664.023496,91870.731781,78153.637785,57500
463485.528186,324595.839152,157487.040552,91679.179563,78022.1502,58000
462497.644553,324619.529225,157316.418627,91537.836015,77789.99787,58500
462203.939961,324264.683155,156948.100781,91375.864133,77603.870006,59000
460933.728146,324030.243629,156819.178599,91223.395622,77395.782372,59500
460252.455889,323848.382753,156599.157741,90969.179838,77159.741613,60000
459211.973567,323601.563105,156365.459136,90728.66846,76887.216854,60500
459388.346873,323157.157696,156010.190175,90472.678209,76540.235024,61000
459077.031911,322509.09751,155732.529995,90271.506886,76131.305031,61500
457309.82598,321793.476701,155583.872808,90092.503906,75898.825626,62000
457390.837514,321345.589366,155378.075684,89745.764087,75696.244728,62500
456647.194673,320997.404125,155085.143856,89542.163878,75400.647004,63000
456549.35877,320713.568394,154757.554856,89257.132504,74981.364537,63500
456634.043676,320190.214043,154458.648123,88894.35879,74688.139511,64000
455326.716887,320211.603354,154043.521827,88597.002843,74310.465046,64500
455037.919525,319612.021592,153505.015933,88346.813524,73966.169926,65000
455102.634704,318993.455466,153187.679491,88031.566563,73446.455895,65500
455244.036348,318240.896263,152758.735083,87623.185138,73059.304427,66000
455397.49686,317924.989485,152352.640968,87190.546123,72839.921054,66500
455768.134523,317308.177742,151994.323009,86700.909794,72391.391513,67000
455020.180945,316870.624456,151634.615318,86246.23692,72026.320193,67500
453895.514366,316320.023392,151252.46636,85810.148533,71548.904309,68000
453560.865316,315638.254675,150838.33895,85423.426962,71074.063438,68500
453324.421523,315036.038162,150492.746339,84876.925014,70584.418611,69000
452376.901114,314676.584773,149983.851013,84335.007345,70087.74368,69500
451364.925362,314059.365237,149562.697645,83802.305158,69689.713163,70000
450732.32314,313569.864248,149174.702125,83403.892328,69344.763452,70500
449658.387952,313184.67042,148673.365434,82843.745309,68767.221634,71000
448636.357014,312789.747876,148238.631072,82367.878426,68154.089106,71500
448433.259606,311886.642642,147760.892154,81969.299519,67590.719958,72000
447425.96575,311294.200449,147142.090155,81434.620417,66952.878714,72500
447183.34186,310763.335468,146636.97272,80897.540242,66419.316097,73000
445239.637548,310535.144681,146096.000792,80387.038821,65914.035701,73500
444543.473832,309878.978389,145507.543686,79747.641481,65304.921,74000
443457.559531,308731.996583,145036.797493,79151.789111,64816.724581,74500
442332.104102,307893.785717,144529.229187,78596.956384,64247.953147,75000
441591.08713,307123.794172,143957.705466,77985.581603,63612.117955,75500
440029.240475,306387.566346,143351.275476,77452.46762,62863.970973,76000
438989.152961,305726.98321,142791.94127,76871.283572,62265.71772,76500
438689.17926,304496.364122,142246.648467,76122.635929,61639.771783,77000
437344.941508,303314.156648,141675.305726,75537.116075,61007.857479,77500
436497.809988,302612.651705,140998.069584,74780.299266,60328.059561,78000
435860.031772,301496.187245,140397.096436,74117.290859,59705.250068,78500
435500.151336,300292.343815,139838.830307,73396.262988,59061.956239,79000
433745.57167,299003.654585,139209.016822,72718.815055,58409.774754,79500
432153.240355,298080.333896,138457.670751,72113.556357,57653.821858,80000
430865.21328,297162.61893,137782.055922,71470.683937,57011.063971,80500
429204.254807,296275.158162,137109.639669,70672.54007,56263.730419,81000
427784.256888,295398.461523,136308.353113,69924.668486,55587.262369,81500
426708.915694,294408.219465,135645.134235,69320.553144,54775.359075,82000
425216.662995,293263.656295,134921.896934,68646.066537,53979.658777,82500
423590.324388,292320.550585,134214.072168,67850.443512,53095.852026,83000
422846.199673,291432.929422,133563.989789,67125.880278,52345.984552,83500
422119.876732,290694.60062,132933.599133,66493.480934,51565.792876,84000
422090.534591,290054.361662,132400.849773,65586.848028,50874.257752,84500
421304.380703,289152.017599,131608.799219,64840.419736,49972.934234,85000
420445.846854,288516.111826,130973.130877,63975.653293,49048.946333,85500
419090.479332,287419.34923,130268.681337,63216.270649,48221.845233,86000
418611.971786,286142.478783,129497.354127,62447.303228,47396.329034,86500
416225.769002,285528.615,128715.475905,61572.244552,46606.010301,87000
415845.496861,284489.178727,128043.069016,60760.70577,45747.429619,87500
415319.025103,283932.36277,127198.83204,60032.706196,44929.87595,88000
414136.231827,282642.050413,126398.05986,59184.975479,44105.611814,88500
412707.311813,282015.195299,125491.011295,58323.213728,43384.246053,89000
412171.571102,281013.930927,124622.435765,57542.574844,42494.341834,89500
411536.197401,280151.351031,123874.622033,56643.809015,41615.739256,90000
410237.107847,278978.955792,123119.730195,55728.465873,40779.445406,90500
408743.737626,278177.012199,122340.114161,54869.893336,39832.644083,91000
406474.873222,277677.461153,121671.900638,53871.751542,38992.192966,91500
403999.693029,276359.595495,120949.616933,53065.242036,38004.61187,92000
402237.921935,275257.526193,120148.707406,52289.621087,37106.047543,92500
400613.513786,274524.064701,119518.197231,51424.880932,36237.345475,93000
399309.053246,273953.08808,118557.665883,50585.795423,35353.910585,93500
398177.030059,272280.670722,117727.753998,49534.459228,34436.018169,94000
397577.066153,270803.974832,116932.716064,48534.0723,33420.058503,94500
397100.034308,270272.181424,116015.035531,47447.26958,32377.801029,95000
396599.94417,269214.401003,115335.647291,46432.598147,31494.819593,95500
396103.220795,268671.92203,114459.306903,45509.946198,30561.769184,96000
395677.034074,268283.972928,113618.809137,44585.326232,29538.23774,96500
395528.884803,267534.665577,112832.128983,43680.766639,28575.917829,97000
394850.97991,266798.580923,112004.570844,42807.763391,27443.744378,97500
393781.483095,265896.373152,111153.982287,41902.229359,26434.993889,98000
392672.083848,264513.869289,110389.445695,40797.693913,25460.897672,98500
392160.641511,263639.169252,109513.054749,39865.957174,24599.120356,99000
390991.015826,262472.533317,108597.896701,38851.428633,23573.526256,99500
391113.528201,260872.902102,107643.325537,37825.646703,22580.420574,1e+05
390279.025786,259934.167931,106624.618007,36859.964766,21706.387963,100500
388464.355136,259342.426267,105693.494438,35878.471127,20720.370745,101000
387416.965285,258088.820282,104819.364188,34913.635044,19911.307496,101500
386216.448078,257350.428287,103933.027811,33885.094994,18984.796162,102000
386032.359036,256597.886211,102955.025059,33007.460143,17969.877784,102500
383690.826785,256041.631019,102192.330616,32029.686414,17173.342995,103000
381849.646557,254608.970043,101376.407358,31060.322835,16207.536067,103500
380677.537797,253436.448504,100348.727163,30124.423302,15200.942991,104000
380121.562512,252580.542009,99503.702076,29078.05115,14191.632513,104500
379811.546846,251385.844929,98432.67718,27941.068433,13177.298727,105000
378443.18031,250342.188966,97520.75274,26955.780917,12208.240151,105500
377226.230784,249261.922038,96550.970836,25882.769215,11115.62848,106000
375316.270555,248478.925123,95538.613734,24937.061146,10074.245209,106500
374450.790406,247178.425059,94590.52554,23950.413672,9135.700916,107000
373078.915083,246055.340529,93586.568781,22990.206988,8153.910787,107500
372129.855116,245218.604885,92702.816783,21830.865629,7042.337534,108000
371832.27311,244411.251917,91843.314075,20839.144383,5971.85718,108500
