"q95","q90","Median","q10","q5","escapement"
0,0,0,0,0,0
171178.286232,134526.50861,39720.84905,21277.229317,18039.552452,5000
294210.028241,232259.824521,72624.494943,38991.852943,33163.115922,10000
385944.242098,300480.844269,99145.409422,54302.169575,45656.25962,15000
457779.02651,359888.760697,119774.544457,66868.139216,57617.618427,20000
516809.100547,388807.264344,132943.637345,77193.680953,67080.587493,25000
560009.477477,399851.078859,144793.12833,85262.314397,74231.057481,30000
589825.630856,414904.778478,153405.404513,91578.533751,79201.622099,35000
608372.755126,438569.946892,158486.941724,92886.143274,78927.946085,40000
617477.921135,448059.489487,158680.183267,95100.304463,81773.385567,45000
620131.298295,449663.350519,155772.050669,94694.638779,81693.25883,50000
623628.044165,425634.624752,151336.038855,94009.998286,76340.076308,55000
609779.245263,398510.252432,150922.082047,88911.825784,71938.900376,60000
583679.036667,369367.335036,149308.780298,81682.896554,68336.228986,65000
554888.440282,339061.314124,142532.392825,72501.65756,63946.482766,70000
527820.443939,308264.653434,134342.080777,66790.729101,52725.109393,75000
501685.179273,290078.646492,128779.257282,59297.533359,42489.05653,80000
483086.268927,262971.730193,121902.922347,49126.041891,32844.624164,85000
457944.248259,250153.389133,112818.38961,37934.119442,23970.846849,90000
424805.685625,245324.72176,100631.443644,26259.639585,15069.706511,95000
396114.094208,251763.99453,87769.990066,15642.784328,6488.090862,100000
376436.74268,231049.860962,73728.743877,5062.192188,-1867.151242,105000
356142.996538,213835.870262,64500.430847,-6102.488828,-11908.663154,110000
339944.959126,206757.807425,53140.95682,-16523.079283,-23558.427431,115000
331878.29039,201920.845905,42641.819185,-25040.559662,-35031.118127,120000
328250.764256,192069.889538,32889.652362,-33585.854139,-46182.656847,125000
306919.568402,166892.023566,19576.308736,-42900.171109,-56994.285475,130000
293824.043524,154493.098111,7697.058018,-56203.952266,-67498.609784,135000
292841.378668,141904.029028,-3787.989102,-65246.740265,-77663.698063,140000
281523.194142,128972.16426,-14698.212856,-78044.521188,-87506.948395,145000
270454.14995,114586.565678,-26561.362543,-87724.116309,-97036.913423,150000
261421.893248,98518.328131,-37347.675787,-98131.219816,-106264.132001,155000
253146.541349,85422.237172,-47126.1842,-107844.238508,-115521.116298,160000
232070.76635,72355.258788,-56165.767529,-116574.349304,-124255.032815,165000
218143.517148,64340.843244,-66099.413338,-125043.329426,-133441.859652,170000
204855.448619,57798.864581,-75997.809553,-133962.012479,-141876.295555,175000
191502.593257,47955.672351,-86466.98952,-143176.08665,-149402.147912,180000
178113.59047,40315.619671,-97401.937674,-151463.25745,-156748.558186,185000
164714.092282,27453.964307,-107494.641571,-158938.588683,-163932.070257,190000
151771.765726,19475.203582,-117719.41558,-166250.625108,-170981.640419,195000
139289.389115,14519.712263,-128145.409955,-173407.992462,-178142.493343,200000
126816.475249,5695.37811,-137630.354413,-180418.779405,-185255.159591,205000
114369.180329,-8793.667339,-146751.570366,-187290.977245,-192176.403458,210000
101961.92331,-22940.48917,-155197.596911,-194032.421035,-198926.504853,215000
92867.908324,-37600.46016,-164006.353784,-201087.247791,-205660.877447,220000
83864.4088,-49614.466084,-173047.689341,-207971.144858,-212194.440147,225000
74761.585516,-60717.116812,-181355.336108,-214548.177157,-218420.921368,230000
65571.168906,-71672.550783,-188928.536732,-220848.370461,-224560.963306,235000
56304.194282,-84741.988922,-196590.883536,-227023.534505,-230506.119475,240000
46971.035965,-92551.509206,-204192.459325,-233106.25131,-236314.221202,245000
37581.439902,-102270.948979,-211776.463576,-239103.146861,-242056.832807,250000
28144.554799,-112047.656119,-219274.147649,-245047.995042,-247738.844371,255000
18668.961857,-121719.26795,-226621.443466,-250890.309615,-253364.836378,260000
9162.703164,-131283.929665,-233693.576384,-256815.322617,-258939.091296,265000
-366.691209,-140740.265678,-240638.420409,-262470.136901,-264465.606087,270000
-9912.177334,-150066.614115,-247471.47633,-268094.207049,-269953.435478,275000
-26635.17396,-158295.407902,-254127.448607,-273752.215885,-275413.444926,280000
-44815.069797,-166477.828322,-260708.34857,-279349.31851,-280832.816751,285000
-60704.207694,-174611.839252,-267208.823171,-284890.918752,-286214.976288,290000
-75936.799381,-182695.669241,-273543.114335,-290381.972393,-291563.08177,295000
-84659.075917,-190727.792291,-279805.047484,-295827.019913,-296880.04218,300000
-92600.203085,-198706.909819,-285997.999557,-301230.217504,-302168.534353,305000
-100550.879076,-206631.933724,-292125.246,-306595.366334,-307431.019282,310000
-108507.792827,-214501.970499,-298189.957129,-311925.940057,-312681.456783,315000
-116467.834633,-222316.306335,-304195.1956,-317242.909707,-317912.934226,320000
-124428.08647,-230074.393148,-310143.914845,-322541.164785,-323121.874555,325000
-132385.812734,-237775.835493,-316038.958329,-327807.661881,-328314.043323,330000
-140338.451395,-245746.031183,-321883.059542,-333045.712609,-333487.86942,335000
-148283.605538,-253944.988949,-327678.842591,-338258.293067,-338654.843667,340000
-156219.035272,-262022.488095,-333510.096425,-343448.076432,-343803.631331,345000
-164142.650004,-269983.879085,-339297.55854,-348617.462581,-348936.178386,350000
-172052.501053,-281077.259818,-345032.673104,-353768.151831,-354054.227496,355000
-184324.136627,-291777.835532,-350718.751828,-358901.466249,-359159.338552,360000
-200250.797774,-302032.215966,-356358.91482,-364009.999117,-364252.907237,365000
-218358.239465,-309747.355017,-361956.099677,-369101.227498,-369336.1818,370000
-230060.525882,-317104.993415,-367518.29834,-374184.161482,-374410.27818,375000
-241049.60987,-324379.760656,-373073.543757,-379258.839679,-379476.193655,380000
-251769.325713,-331573.908845,-378588.679872,-384326.432545,-384534.819132,385000
-262231.772473,-338689.680479,-384066.493405,-389387.96186,-389586.950208,390000
-272448.577658,-345818.482228,-389509.588923,-394443.959798,-394633.297131,395000
-282355.120049,-352875.519339,-394920.39951,-399494.913224,-399674.621511,400000
-291695.165521,-359853.32947,-400301.196957,-404541.267379,-404711.364282,405000
-300854.371776,-366778.747222,-405654.101466,-409583.429294,-409743.99536,410000
-309840.714792,-373943.526129,-410981.090893,-414621.770933,-414772.969746,415000
-318661.841154,-380981.325047,-416284.009511,-419658.123904,-419798.692795,420000
-327325.077519,-388936.861171,-421558.905683,-424695.163241,-424821.52554,425000
-335739.943042,-395398.730647,-426809.762449,-429728.223656,-429841.789445,430000
-342933.726156,-401805.822832,-432042.723231,-434757.728047,-434859.770676,435000
-350087.958154,-408159.894719,-437257.723941,-439784.054975,-439875.72391,440000
-357202.757792,-414462.66803,-442447.206025,-444807.495889,-444889.875749,445000
-364278.283107,-420715.828167,-447623.800577,-449828.386767,-449902.427763,450000
-371314.728529,-426921.023368,-452788.363495,-454847.025658,-454913.559221,455000
-378312.322158,-433079.864042,-457941.695921,-459863.653251,-459923.429519,460000
-385271.323186,-439193.922275,-463084.547537,-464878.648958,-464932.180356,465000
-392192.019451,-445264.731491,-468217.61967,-469891.396077,-469939.877088,470000
-399074.725132,-451293.786245,-473341.568243,-474902.277201,-474946.455476,475000
-405919.778565,-457282.542145,-478457.006554,-479912.010648,-479952.318987,480000
-412727.540185,-463232.415881,-483564.507908,-484920.744974,-484957.544668,485000
-419498.390573,-469144.785365,-488664.608101,-489928.619867,-489962.201346,490000
-426232.728624,-475020.989948,-493757.807756,-494935.904874,-494966.350494,495000
-432930.969813,-480862.330728,-498844.574535,-499943.152966,-499970.047007,500000
-439593.544554,-486670.070925,-503925.345215,-504949.110613,-504973.339899,505000
-446220.896666,-492445.436318,-509000.527645,-509954.266641,-509976.272922,510000
-452813.481917,-498189.615741,-514070.502592,-514958.903216,-514978.885127,515000
-459371.766661,-503903.761631,-519135.625467,-519963.072314,-519981.211366,520000
-465896.226547,-509588.990608,-524196.227957,-524966.820754,-524983.282734,525000
