"variable","Mean","SD","time_series_se","perc_2.5","perc_50","perc_97.5","mc_error","converge"
"MSY","249562.094533628","544027.339953945",10393.3251100939,"67150.7016528897","164468.123538623","811268.256915898",0.0191044169048081,"true"
"S.eq","159744.205417716","242404.458039607",4426.15395129894,"96549.0385883559","137249.241947795","304591.64805596",0.0182593752074301,"true"
"S.max","74994.5628986657","214801.780340576",3949.82728307286,"36721.797912","60247.8286906611","155060.215925921",0.0183882427641441,"true"
"S.msy","52799.1108641505","101319.194291788",1849.54908811657,"30600.9413269858","45840.8210111403","97573.255208471",0.0182546762342985,"true"
"U.msy","0.750650470938463","0.220408873442991",0.00402282890867084,"0.532648937054178","0.773947358559098","0.890825668953889",0.0182516649435684,"true"
"alpha","7.00331817004036","7.37323192816665",0.133897804828432,"2.20907117955974","5.92602072956496","17.1234018218294",0.0181599882023141,"true"
"beta","1.6689712044304e-05","5.34640754776671e-06",9.75836741903904e-08,"6.44912662003858e-06","1.6598109801939e-05","2.72317824654599e-05",0.0182521952018328,"true"
"lnalpha","1.79078057903515","0.521263367966478",0.00951613562025234,"0.792571898396782","1.77935294449128","2.8404459625967",0.0182559071000445,"true"
"lnalpha.c","2.36617651178731","0.760975942728503",0.0138863381708296,"1.36693365110238","2.27815635655932","3.82651889609205",0.0182480646116613,"true"
"resid.red.0","-0.0161912136865174","0.843296030815352",0.0143476867107676,"-1.77031639945597","0.0036212348924462","1.64748586580957",0.0170138198052413,"true"
"sigma.red","1.03042202987354","0.29841580027243",0.00582286707014959,"0.71934765123974","0.961190103722603","1.73740128988765",0.0195125964001698,"true"
"sigma.white","0.782845862454351","0.0997663922853234",0.00205514352613508,"0.618878561366898","0.772144683605688","1.01456136356835",0.0205995574166654,"true"
"Smsy_lambert","  53967.31"," 100794.65",NA,"  31542.05","  46332.53","  98352.95",NA,"NaN"
"Umsy_lambert","0.76883362","0.09900644",NA,"0.55569320","0.77710443","0.94400610",NA,"NaN"
"Smsy_lambert80","  43173.85","  80635.72",NA,"  25233.64","  37066.02","  78682.36",NA,"NaN"
